dataset,raw_label,kind,canonical,status,n_recordings
tusz,EEG 43-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 44-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 45-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 46-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 47-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 48-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 49-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 50-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 51-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 52-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 53-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 54-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 55-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 56-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 57-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 58-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 59-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 60-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 61-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 62-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 63-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 64-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 65-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 66-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 67-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 68-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 69-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 70-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 71-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 72-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 73-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 74-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 75-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 76-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 77-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 78-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 79-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 80-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 81-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 82-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 83-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 84-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 85-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 86-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 87-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 88-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 89-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 90-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 91-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 92-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 93-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 94-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 95-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 96-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 97-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 98-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG 99-REF,numbered,,excluded: numbered channel with no electrode position,75
tusz,EEG A1-LE,electrode,A1 (ref LE),"recognized, not needed for the montage",573
tusz,EEG A1-REF,electrode,A1 (ref REF),"recognized, not needed for the montage",6101
tusz,EEG A2-LE,electrode,A2 (ref LE),"recognized, not needed for the montage",573
tusz,EEG A2-REF,electrode,A2 (ref REF),"recognized, not needed for the montage",6101
tusz,EEG C3-LE,electrode,C3 (ref LE),used,573
tusz,EEG C3-REF,electrode,C3 (ref REF),used,7567
tusz,EEG C3P-REF,electrode,C3P (ref REF),"recognized, not needed for the montage",3216
tusz,EEG C4-LE,electrode,C4 (ref LE),used,573
tusz,EEG C4-REF,electrode,C4 (ref REF),used,7567
tusz,EEG C4P-REF,electrode,C4P (ref REF),"recognized, not needed for the montage",3216
tusz,EEG CZ-LE,electrode,Cz (ref LE),used,573
tusz,EEG CZ-REF,electrode,Cz (ref REF),"recognized, not needed for the montage",625
tusz,EEG CZ-REF,electrode,Cz (ref REF),used,6942
tusz,EEG EKG-LE,non_eeg,,excluded: non-EEG signal,573
tusz,EEG EKG-REF,non_eeg,,excluded: non-EEG signal,119
tusz,EEG EKG1-REF,non_eeg,,excluded: non-EEG signal,6894
tusz,EEG F3-LE,electrode,F3 (ref LE),used,573
tusz,EEG F3-REF,electrode,F3 (ref REF),used,7567
tusz,EEG F4-LE,electrode,F4 (ref LE),used,573
tusz,EEG F4-REF,electrode,F4 (ref REF),used,7567
tusz,EEG F7-LE,electrode,F7 (ref LE),used,573
tusz,EEG F7-REF,electrode,F7 (ref REF),used,7567
tusz,EEG F8-LE,electrode,F8 (ref LE),used,573
tusz,EEG F8-REF,electrode,F8 (ref REF),used,7567
tusz,EEG FP1-LE,electrode,Fp1 (ref LE),used,573
tusz,EEG FP1-REF,electrode,Fp1 (ref REF),used,7567
tusz,EEG FP2-LE,electrode,Fp2 (ref LE),used,573
tusz,EEG FP2-REF,electrode,Fp2 (ref REF),used,7567
tusz,EEG FZ-LE,electrode,Fz (ref LE),used,573
tusz,EEG FZ-REF,electrode,Fz (ref REF),used,6942
tusz,EEG LOC-REF,non_eeg,,excluded: non-EEG signal,1410
tusz,EEG LUC-LE,non_eeg,,excluded: non-EEG signal,75
tusz,EEG LUC-REF,non_eeg,,excluded: non-EEG signal,113
tusz,EEG O1-LE,electrode,O1 (ref LE),used,573
tusz,EEG O1-REF,electrode,O1 (ref REF),used,7567
tusz,EEG O2-LE,electrode,O2 (ref LE),used,573
tusz,EEG O2-REF,electrode,O2 (ref REF),used,7567
tusz,EEG OZ-LE,electrode,Oz (ref LE),"recognized, not needed for the montage",573
tusz,EEG OZ-REF,electrode,Oz (ref REF),"recognized, not needed for the montage",15
tusz,EEG P3-LE,electrode,P3 (ref LE),used,573
tusz,EEG P3-REF,electrode,P3 (ref REF),used,7567
tusz,EEG P4-LE,electrode,P4 (ref LE),used,573
tusz,EEG P4-REF,electrode,P4 (ref REF),used,7567
tusz,EEG PG1-LE,electrode,PG1 (ref LE),"recognized, not needed for the montage",558
tusz,EEG PG2-LE,electrode,PG2 (ref LE),"recognized, not needed for the montage",558
tusz,EEG PZ-LE,electrode,Pz (ref LE),used,573
tusz,EEG PZ-REF,electrode,Pz (ref REF),used,6942
tusz,EEG RESP1-REF,non_eeg,,excluded: non-EEG signal,113
tusz,EEG RESP2-REF,non_eeg,,excluded: non-EEG signal,113
tusz,EEG RLC-LE,non_eeg,,excluded: non-EEG signal,75
tusz,EEG RLC-REF,non_eeg,,excluded: non-EEG signal,113
tusz,EEG ROC-REF,non_eeg,,excluded: non-EEG signal,1410
tusz,EEG SP1-LE,electrode,SP1 (ref LE),"recognized, not needed for the montage",200
tusz,EEG SP1-REF,electrode,SP1 (ref REF),"recognized, not needed for the montage",3304
tusz,EEG SP2-LE,electrode,SP2 (ref LE),"recognized, not needed for the montage",200
tusz,EEG SP2-REF,electrode,SP2 (ref REF),"recognized, not needed for the montage",3185
tusz,EEG T1-LE,electrode,T1 (ref LE),"recognized, not needed for the montage",215
tusz,EEG T1-REF,electrode,T1 (ref REF),"recognized, not needed for the montage",6389
tusz,EEG T2-LE,electrode,T2 (ref LE),"recognized, not needed for the montage",215
tusz,EEG T2-REF,electrode,T2 (ref REF),"recognized, not needed for the montage",6389
tusz,EEG T3-LE,electrode,T7 (ref LE),used,573
tusz,EEG T3-REF,electrode,T7 (ref REF),used,7567
tusz,EEG T4-LE,electrode,T8 (ref LE),used,573
tusz,EEG T4-REF,electrode,T8 (ref REF),used,7567
tusz,EEG T5-LE,electrode,P7 (ref LE),used,573
tusz,EEG T5-REF,electrode,P7 (ref REF),used,7567
tusz,EEG T6-LE,electrode,P8 (ref LE),used,573
tusz,EEG T6-REF,electrode,P8 (ref REF),used,7567
tusz,EMG-REF,non_eeg,,excluded: non-EEG signal,2521
tusz,IBI,non_eeg,,excluded: non-EEG signal,6287
tusz,PHOTIC PH,non_eeg,,excluded: non-EEG signal,558
tusz,PHOTIC-REF,non_eeg,,excluded: non-EEG signal,1332
tusz,PULSE RATE,non_eeg,,excluded: non-EEG signal,15
tusz,RESP ABDOMEN-REF,non_eeg,,excluded: non-EEG signal,100
tusz,SUPPR,non_eeg,,excluded: non-EEG signal,6287
