dataset,recording,derivation,median_abs_uV
tusz,tusz_v2.0.6/edf/train/aaaaabdv/s001_2003/02_tcp_le/aaaaabdv_s001_t000.edf,C3-P3,393.617
tusz,tusz_v2.0.6/edf/train/aaaaabdv/s001_2003/02_tcp_le/aaaaabdv_s001_t000.edf,C4-P4,394.99
tusz,tusz_v2.0.6/edf/train/aaaaabdv/s001_2003/02_tcp_le/aaaaabdv_s001_t000.edf,Cz-Pz,248.979
tusz,tusz_v2.0.6/edf/train/aaaaabdv/s001_2003/02_tcp_le/aaaaabdv_s001_t000.edf,F3-C3,1034.433
tusz,tusz_v2.0.6/edf/train/aaaaabdv/s001_2003/02_tcp_le/aaaaabdv_s001_t000.edf,F4-C4,200.182
tusz,tusz_v2.0.6/edf/train/aaaaabdv/s001_2003/02_tcp_le/aaaaabdv_s001_t000.edf,Fp1-F3,1069.969
tusz,tusz_v2.0.6/edf/train/aaaaabdv/s001_2003/02_tcp_le/aaaaabdv_s001_t000.edf,P3-O1,593.407
tusz,tusz_v2.0.6/edf/train/aaaaabdv/s001_2003/02_tcp_le/aaaaabdv_s001_t000.edf,P4-O2,1507.72
tusz,tusz_v2.0.6/edf/train/aaaaabdv/s001_2003/02_tcp_le/aaaaabdv_s001_t000.edf,P7-O1,849.224
tusz,tusz_v2.0.6/edf/train/aaaaabdv/s001_2003/02_tcp_le/aaaaabdv_s001_t000.edf,P8-O2,974.038
tusz,tusz_v2.0.6/edf/train/aaaaabdv/s001_2003/02_tcp_le/aaaaabdv_s001_t000.edf,T7-P7,221.135
tusz,tusz_v2.0.6/edf/train/aaaaabdv/s001_2003/02_tcp_le/aaaaabdv_s001_t000.edf,T8-P8,544.635
tusz,tusz_v2.0.6/edf/train/aaaaabdv/s001_2003/02_tcp_le/aaaaabdv_s001_t001.edf,P8-O2,221.95
tusz,tusz_v2.0.6/edf/train/aaaaabgs/s001_2003/02_tcp_le/aaaaabgs_s001_t001.edf,Fp1-F3,230.42
tusz,tusz_v2.0.6/edf/train/aaaaabgs/s001_2003/02_tcp_le/aaaaabgs_s001_t001.edf,Fp1-F7,257.692
tusz,tusz_v2.0.6/edf/train/aaaaabgs/s001_2003/02_tcp_le/aaaaabgs_s001_t001.edf,Fp2-F4,571.009
tusz,tusz_v2.0.6/edf/train/aaaaabgs/s001_2003/02_tcp_le/aaaaabgs_s001_t001.edf,Fp2-F8,563.919
tusz,tusz_v2.0.6/edf/train/aaaaabgs/s001_2003/02_tcp_le/aaaaabgs_s001_t001.edf,P4-O2,208.909
tusz,tusz_v2.0.6/edf/train/aaaaabgs/s001_2003/02_tcp_le/aaaaabgs_s001_t001.edf,P8-O2,214.474
tusz,tusz_v2.0.6/edf/train/aaaaabhz/s009_2010/03_tcp_ar_a/aaaaabhz_s009_t006.edf,Cz-Pz,236.249
tusz,tusz_v2.0.6/edf/train/aaaaabiw/s016_2012/01_tcp_ar/aaaaabiw_s016_t003.edf,P7-O1,1717.449
tusz,tusz_v2.0.6/edf/train/aaaaabiw/s016_2012/01_tcp_ar/aaaaabiw_s016_t003.edf,T7-P7,1711.844
tusz,tusz_v2.0.6/edf/train/aaaaabjm/s001_2003/02_tcp_le/aaaaabjm_s001_t001.edf,Fp2-F4,270.346
tusz,tusz_v2.0.6/edf/train/aaaaabln/s003_2004/03_tcp_ar_a/aaaaabln_s003_t007.edf,C4-P4,652.264
tusz,tusz_v2.0.6/edf/train/aaaaabln/s003_2004/03_tcp_ar_a/aaaaabln_s003_t007.edf,Cz-Pz,232.835
tusz,tusz_v2.0.6/edf/train/aaaaabln/s003_2004/03_tcp_ar_a/aaaaabln_s003_t007.edf,Fz-Cz,236.463
tusz,tusz_v2.0.6/edf/train/aaaaabln/s003_2004/03_tcp_ar_a/aaaaabln_s003_t007.edf,P4-O2,653.568
tusz,tusz_v2.0.6/edf/train/aaaaabln/s003_2004/03_tcp_ar_a/aaaaabln_s003_t008.edf,C4-P4,248.12
tusz,tusz_v2.0.6/edf/train/aaaaabln/s003_2004/03_tcp_ar_a/aaaaabln_s003_t008.edf,P4-O2,248.202
tusz,tusz_v2.0.6/edf/train/aaaaabms/s002_2003/02_tcp_le/aaaaabms_s002_t000.edf,C3-P3,3805.124
tusz,tusz_v2.0.6/edf/train/aaaaabms/s002_2003/02_tcp_le/aaaaabms_s002_t000.edf,F3-C3,3795.568
tusz,tusz_v2.0.6/edf/train/aaaaabms/s002_2003/02_tcp_le/aaaaabms_s002_t001.edf,C3-P3,3801.956
tusz,tusz_v2.0.6/edf/train/aaaaabms/s002_2003/02_tcp_le/aaaaabms_s002_t001.edf,F3-C3,3812.724
tusz,tusz_v2.0.6/edf/train/aaaaabms/s002_2003/02_tcp_le/aaaaabms_s002_t002.edf,C3-P3,3804.897
tusz,tusz_v2.0.6/edf/train/aaaaabms/s002_2003/02_tcp_le/aaaaabms_s002_t002.edf,F3-C3,3813.438
tusz,tusz_v2.0.6/edf/train/aaaaabms/s002_2003/02_tcp_le/aaaaabms_s002_t003.edf,C3-P3,3810.581
tusz,tusz_v2.0.6/edf/train/aaaaabms/s002_2003/02_tcp_le/aaaaabms_s002_t003.edf,F3-C3,3814.735
tusz,tusz_v2.0.6/edf/train/aaaaabms/s002_2003/02_tcp_le/aaaaabms_s002_t004.edf,C3-P3,3809.285
tusz,tusz_v2.0.6/edf/train/aaaaabms/s002_2003/02_tcp_le/aaaaabms_s002_t004.edf,F3-C3,3821.622
tusz,tusz_v2.0.6/edf/train/aaaaabms/s002_2003/02_tcp_le/aaaaabms_s002_t005.edf,C3-P3,3809.643
tusz,tusz_v2.0.6/edf/train/aaaaabms/s002_2003/02_tcp_le/aaaaabms_s002_t005.edf,F3-C3,3818.215
tusz,tusz_v2.0.6/edf/train/aaaaabms/s002_2003/02_tcp_le/aaaaabms_s002_t006.edf,C3-P3,3813.511
tusz,tusz_v2.0.6/edf/train/aaaaabms/s002_2003/02_tcp_le/aaaaabms_s002_t006.edf,F3-C3,3818.674
tusz,tusz_v2.0.6/edf/train/aaaaabms/s002_2003/02_tcp_le/aaaaabms_s002_t007.edf,C3-P3,3811.679
tusz,tusz_v2.0.6/edf/train/aaaaabms/s002_2003/02_tcp_le/aaaaabms_s002_t007.edf,F3-C3,3815.985
tusz,tusz_v2.0.6/edf/train/aaaaabms/s003_2003/02_tcp_le/aaaaabms_s003_t000.edf,Fz-Cz,4926.031
tusz,tusz_v2.0.6/edf/train/aaaaabms/s003_2003/02_tcp_le/aaaaabms_s003_t001.edf,Fz-Cz,4950.816
tusz,tusz_v2.0.6/edf/train/aaaaabnn/s004_2004/01_tcp_ar/aaaaabnn_s004_t000.edf,P8-O2,457.876
tusz,tusz_v2.0.6/edf/train/aaaaabnn/s004_2004/01_tcp_ar/aaaaabnn_s004_t000.edf,T8-P8,455.112
tusz,tusz_v2.0.6/edf/train/aaaaabom/s005_2006/03_tcp_ar_a/aaaaabom_s005_t003.edf,T8-P8,201.143
tusz,tusz_v2.0.6/edf/train/aaaaabom/s005_2006/03_tcp_ar_a/aaaaabom_s005_t014.edf,P3-O1,314.99
tusz,tusz_v2.0.6/edf/train/aaaaabom/s005_2006/03_tcp_ar_a/aaaaabom_s005_t014.edf,P7-O1,268.169
tusz,tusz_v2.0.6/edf/train/aaaaabpp/s001_2004/02_tcp_le/aaaaabpp_s001_t000.edf,C4-P4,305.752
tusz,tusz_v2.0.6/edf/train/aaaaabpp/s001_2004/02_tcp_le/aaaaabpp_s001_t000.edf,P4-O2,308.953
tusz,tusz_v2.0.6/edf/train/aaaaabpp/s001_2004/02_tcp_le/aaaaabpp_s001_t001.edf,C4-P4,414.237
tusz,tusz_v2.0.6/edf/train/aaaaabpp/s001_2004/02_tcp_le/aaaaabpp_s001_t001.edf,P4-O2,413.363
tusz,tusz_v2.0.6/edf/train/aaaaabui/s002_2004/01_tcp_ar/aaaaabui_s002_t001.edf,F3-C3,214.072
tusz,tusz_v2.0.6/edf/train/aaaaacna/s001_2004/02_tcp_le/aaaaacna_s001_t000.edf,F3-C3,350.047
tusz,tusz_v2.0.6/edf/train/aaaaacna/s001_2004/02_tcp_le/aaaaacna_s001_t000.edf,F7-T7,310.501
tusz,tusz_v2.0.6/edf/train/aaaaacna/s001_2004/02_tcp_le/aaaaacna_s001_t000.edf,Fp1-F3,349.825
tusz,tusz_v2.0.6/edf/train/aaaaacna/s001_2004/02_tcp_le/aaaaacna_s001_t000.edf,Fp1-F7,313.305
tusz,tusz_v2.0.6/edf/train/aaaaacna/s001_2004/02_tcp_le/aaaaacna_s001_t001.edf,F3-C3,362.54
tusz,tusz_v2.0.6/edf/train/aaaaacna/s001_2004/02_tcp_le/aaaaacna_s001_t001.edf,F7-T7,321.99
tusz,tusz_v2.0.6/edf/train/aaaaacna/s001_2004/02_tcp_le/aaaaacna_s001_t001.edf,Fp1-F3,361.003
tusz,tusz_v2.0.6/edf/train/aaaaacna/s001_2004/02_tcp_le/aaaaacna_s001_t001.edf,Fp1-F7,321.231
tusz,tusz_v2.0.6/edf/train/aaaaacpl/s004_2006/03_tcp_ar_a/aaaaacpl_s004_t001.edf,F8-T8,215.279
tusz,tusz_v2.0.6/edf/train/aaaaacpl/s004_2006/03_tcp_ar_a/aaaaacpl_s004_t001.edf,Fp2-F8,216.946
tusz,tusz_v2.0.6/edf/train/aaaaacyf/s009_2015/01_tcp_ar/aaaaacyf_s009_t000.edf,Fp2-F4,707.475
tusz,tusz_v2.0.6/edf/train/aaaaacyf/s009_2015/01_tcp_ar/aaaaacyf_s009_t000.edf,Fp2-F8,706.722
tusz,tusz_v2.0.6/edf/train/aaaaacyk/s002_2006/02_tcp_le/aaaaacyk_s002_t000.edf,C3-P3,357.387
tusz,tusz_v2.0.6/edf/train/aaaaacyk/s002_2006/02_tcp_le/aaaaacyk_s002_t000.edf,F3-C3,392.959
tusz,tusz_v2.0.6/edf/train/aaaaacyk/s002_2006/02_tcp_le/aaaaacyk_s002_t000.edf,F8-T8,260.743
tusz,tusz_v2.0.6/edf/train/aaaaacyk/s002_2006/02_tcp_le/aaaaacyk_s002_t000.edf,Fp1-F3,426.21
tusz,tusz_v2.0.6/edf/train/aaaaacyk/s002_2006/02_tcp_le/aaaaacyk_s002_t000.edf,Fp1-F7,267.776
tusz,tusz_v2.0.6/edf/train/aaaaacyk/s002_2006/02_tcp_le/aaaaacyk_s002_t000.edf,Fp2-F8,303.619
tusz,tusz_v2.0.6/edf/train/aaaaacyk/s002_2006/02_tcp_le/aaaaacyk_s002_t000.edf,P3-O1,438.921
tusz,tusz_v2.0.6/edf/train/aaaaacyk/s002_2006/02_tcp_le/aaaaacyk_s002_t000.edf,P4-O2,412.884
tusz,tusz_v2.0.6/edf/train/aaaaacyk/s002_2006/02_tcp_le/aaaaacyk_s002_t000.edf,P7-O1,411.462
tusz,tusz_v2.0.6/edf/train/aaaaacyk/s002_2006/02_tcp_le/aaaaacyk_s002_t000.edf,P8-O2,348.199
tusz,tusz_v2.0.6/edf/train/aaaaacyk/s002_2006/02_tcp_le/aaaaacyk_s002_t000.edf,T8-P8,442.753
tusz,tusz_v2.0.6/edf/train/aaaaacyy/s001_2004/02_tcp_le/aaaaacyy_s001_t000.edf,Cz-Pz,5067.62
tusz,tusz_v2.0.6/edf/train/aaaaacyy/s001_2004/02_tcp_le/aaaaacyy_s001_t000.edf,Fp1-F3,5017.883
tusz,tusz_v2.0.6/edf/train/aaaaacyy/s001_2004/02_tcp_le/aaaaacyy_s001_t000.edf,Fp1-F7,5018.172
tusz,tusz_v2.0.6/edf/train/aaaaacyy/s001_2004/02_tcp_le/aaaaacyy_s001_t000.edf,Fz-Cz,5035.38
tusz,tusz_v2.0.6/edf/train/aaaaadhe/s001_2004/02_tcp_le/aaaaadhe_s001_t000.edf,F3-C3,396.807
tusz,tusz_v2.0.6/edf/train/aaaaadhe/s001_2004/02_tcp_le/aaaaadhe_s001_t000.edf,F7-T7,440.813
tusz,tusz_v2.0.6/edf/train/aaaaadhe/s001_2004/02_tcp_le/aaaaadhe_s001_t000.edf,F8-T8,891.162
tusz,tusz_v2.0.6/edf/train/aaaaadhe/s001_2004/02_tcp_le/aaaaadhe_s001_t000.edf,Fp1-F3,393.822
tusz,tusz_v2.0.6/edf/train/aaaaadhe/s001_2004/02_tcp_le/aaaaadhe_s001_t000.edf,Fp1-F7,436.674
tusz,tusz_v2.0.6/edf/train/aaaaadhe/s001_2004/02_tcp_le/aaaaadhe_s001_t000.edf,Fp2-F8,892.452
tusz,tusz_v2.0.6/edf/train/aaaaadhe/s001_2004/02_tcp_le/aaaaadhe_s001_t001.edf,C3-P3,298.554
tusz,tusz_v2.0.6/edf/train/aaaaadhe/s001_2004/02_tcp_le/aaaaadhe_s001_t001.edf,F3-C3,326.448
tusz,tusz_v2.0.6/edf/train/aaaaadhe/s001_2004/02_tcp_le/aaaaadhe_s001_t001.edf,F7-T7,327.691
tusz,tusz_v2.0.6/edf/train/aaaaadhe/s001_2004/02_tcp_le/aaaaadhe_s001_t001.edf,F8-T8,650.201
tusz,tusz_v2.0.6/edf/train/aaaaadhe/s001_2004/02_tcp_le/aaaaadhe_s001_t001.edf,Fp1-F3,327.357
tusz,tusz_v2.0.6/edf/train/aaaaadhe/s001_2004/02_tcp_le/aaaaadhe_s001_t001.edf,Fp1-F7,327.26
tusz,tusz_v2.0.6/edf/train/aaaaadhe/s001_2004/02_tcp_le/aaaaadhe_s001_t001.edf,Fp2-F8,648.726
tusz,tusz_v2.0.6/edf/train/aaaaadhe/s001_2004/02_tcp_le/aaaaadhe_s001_t001.edf,P3-O1,292.015
tusz,tusz_v2.0.6/edf/train/aaaaadhe/s001_2004/02_tcp_le/aaaaadhe_s001_t001.edf,P8-O2,293.587
tusz,tusz_v2.0.6/edf/train/aaaaadhe/s001_2004/02_tcp_le/aaaaadhe_s001_t001.edf,T8-P8,293.429
tusz,tusz_v2.0.6/edf/train/aaaaadjj/s001_2005/02_tcp_le/aaaaadjj_s001_t001.edf,F4-C4,4940.736
tusz,tusz_v2.0.6/edf/train/aaaaadjj/s001_2005/02_tcp_le/aaaaadjj_s001_t001.edf,Fp2-F4,4936.911
tusz,tusz_v2.0.6/edf/train/aaaaadmi/s013_2015/01_tcp_ar/aaaaadmi_s013_t016.edf,Fz-Cz,242.768
tusz,tusz_v2.0.6/edf/train/aaaaaebw/s001_2006/02_tcp_le/aaaaaebw_s001_t000.edf,Fp1-F7,204.92
tusz,tusz_v2.0.6/edf/train/aaaaaeet/s001_2006/02_tcp_le/aaaaaeet_s001_t000.edf,F3-C3,4972.369
tusz,tusz_v2.0.6/edf/train/aaaaaeet/s001_2006/02_tcp_le/aaaaaeet_s001_t000.edf,F7-T7,5043.241
tusz,tusz_v2.0.6/edf/train/aaaaaeet/s001_2006/02_tcp_le/aaaaaeet_s001_t000.edf,Fp1-F3,5006.775
tusz,tusz_v2.0.6/edf/train/aaaaaeet/s001_2006/02_tcp_le/aaaaaeet_s001_t000.edf,T7-P7,5049.676
tusz,tusz_v2.0.6/edf/train/aaaaaelv/s001_2006/02_tcp_le/aaaaaelv_s001_t001.edf,P8-O2,2167.666
tusz,tusz_v2.0.6/edf/train/aaaaaelv/s001_2006/02_tcp_le/aaaaaelv_s001_t001.edf,T8-P8,2173.295
tusz,tusz_v2.0.6/edf/train/aaaaaelv/s001_2006/02_tcp_le/aaaaaelv_s001_t002.edf,P8-O2,2149.381
tusz,tusz_v2.0.6/edf/train/aaaaaelv/s001_2006/02_tcp_le/aaaaaelv_s001_t002.edf,T8-P8,2152.686
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s002_2006/02_tcp_le/aaaaaeph_s002_t000.edf,Cz-Pz,1249.165
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s002_2006/02_tcp_le/aaaaaeph_s002_t000.edf,F8-T8,3718.858
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s002_2006/02_tcp_le/aaaaaeph_s002_t000.edf,T8-P8,3662.194
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s002_2006/02_tcp_le/aaaaaeph_s002_t001.edf,F4-C4,409.877
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s002_2006/02_tcp_le/aaaaaeph_s002_t001.edf,Fp2-F4,383.51
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s002_2006/02_tcp_le/aaaaaeph_s002_t002.edf,Cz-Pz,303.226
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s002_2006/02_tcp_le/aaaaaeph_s002_t003.edf,Cz-Pz,302.596
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s002_2006/02_tcp_le/aaaaaeph_s002_t004.edf,Cz-Pz,321.394
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t000.edf,Cz-Pz,3443.866
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t000.edf,F4-C4,316.497
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t000.edf,Fp2-F4,313.703
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t001.edf,Cz-Pz,3429.592
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t002.edf,Cz-Pz,3450.392
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t002.edf,Fp1-F3,256.498
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t002.edf,Fp1-F7,252.231
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t003.edf,Cz-Pz,3480.442
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t004.edf,Cz-Pz,3337.263
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t004.edf,F7-T7,221.377
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t004.edf,F8-T8,242.814
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t004.edf,Fp2-F8,205.287
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t005.edf,Cz-Pz,3369.802
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t005.edf,P7-O1,208.874
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t006.edf,Cz-Pz,3412.065
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t007.edf,Cz-Pz,3287.189
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t007.edf,F8-T8,236.863
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t008.edf,Cz-Pz,3320.355
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t009.edf,Cz-Pz,3342.939
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t010.edf,C4-P4,276.366
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t010.edf,Cz-Pz,3302.041
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t010.edf,F4-C4,278.223
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t010.edf,Fp1-F3,312.779
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t010.edf,Fp1-F7,320.065
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t011.edf,Cz-Pz,3504.288
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t012.edf,Cz-Pz,3457.981
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t013.edf,Cz-Pz,3493.154
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t014.edf,Cz-Pz,3452.457
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t015.edf,Cz-Pz,3438.832
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t016.edf,Cz-Pz,3481.207
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t017.edf,Cz-Pz,3429.574
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t017.edf,F4-C4,335.672
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t017.edf,Fp2-F4,215.614
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t018.edf,Cz-Pz,3445.793
tusz,tusz_v2.0.6/edf/train/aaaaaeph/s003_2006/02_tcp_le/aaaaaeph_s003_t018.edf,F4-C4,249.021
tusz,tusz_v2.0.6/edf/train/aaaaaeqh/s002_2006/03_tcp_ar_a/aaaaaeqh_s002_t001.edf,Fz-Cz,202.434
tusz,tusz_v2.0.6/edf/train/aaaaaeqh/s002_2006/03_tcp_ar_a/aaaaaeqh_s002_t002.edf,Cz-Pz,240.234
tusz,tusz_v2.0.6/edf/train/aaaaaeqh/s002_2006/03_tcp_ar_a/aaaaaeqh_s002_t002.edf,Fz-Cz,217.473
tusz,tusz_v2.0.6/edf/train/aaaaaerk/s004_2006/03_tcp_ar_a/aaaaaerk_s004_t002.edf,Fp1-F3,672.528
tusz,tusz_v2.0.6/edf/train/aaaaaerk/s004_2006/03_tcp_ar_a/aaaaaerk_s004_t002.edf,Fp1-F7,701.863
tusz,tusz_v2.0.6/edf/train/aaaaaetm/s002_2006/03_tcp_ar_a/aaaaaetm_s002_t003.edf,Cz-Pz,1462.008
tusz,tusz_v2.0.6/edf/train/aaaaaewi/s001_2006/02_tcp_le/aaaaaewi_s001_t000.edf,Fp1-F3,210.482
tusz,tusz_v2.0.6/edf/train/aaaaaewi/s001_2006/02_tcp_le/aaaaaewi_s001_t000.edf,P3-O1,210.84
tusz,tusz_v2.0.6/edf/train/aaaaafav/s001_2006/02_tcp_le/aaaaafav_s001_t001.edf,Fp1-F3,1313.183
tusz,tusz_v2.0.6/edf/train/aaaaafav/s001_2006/02_tcp_le/aaaaafav_s001_t001.edf,Fp1-F7,1310.22
tusz,tusz_v2.0.6/edf/train/aaaaafav/s001_2006/02_tcp_le/aaaaafav_s001_t001.edf,P3-O1,546.779
tusz,tusz_v2.0.6/edf/train/aaaaafav/s001_2006/02_tcp_le/aaaaafav_s001_t001.edf,P7-O1,599.02
tusz,tusz_v2.0.6/edf/train/aaaaafav/s001_2006/02_tcp_le/aaaaafav_s001_t002.edf,Fp1-F3,1816.59
tusz,tusz_v2.0.6/edf/train/aaaaafav/s001_2006/02_tcp_le/aaaaafav_s001_t002.edf,Fp1-F7,1794.36
tusz,tusz_v2.0.6/edf/train/aaaaafrv/s002_2007/02_tcp_le/aaaaafrv_s002_t000.edf,C3-P3,207.314
tusz,tusz_v2.0.6/edf/train/aaaaafsb/s001_2007/02_tcp_le/aaaaafsb_s001_t000.edf,C4-P4,518.224
tusz,tusz_v2.0.6/edf/train/aaaaafsb/s001_2007/02_tcp_le/aaaaafsb_s001_t000.edf,Fp1-F3,4066.204
tusz,tusz_v2.0.6/edf/train/aaaaafsb/s001_2007/02_tcp_le/aaaaafsb_s001_t000.edf,Fp1-F7,4077.135
tusz,tusz_v2.0.6/edf/train/aaaaafsb/s001_2007/02_tcp_le/aaaaafsb_s001_t000.edf,P4-O2,569.785
tusz,tusz_v2.0.6/edf/train/aaaaaftk/s002_2007/02_tcp_le/aaaaaftk_s002_t000.edf,C3-P3,0.0
tusz,tusz_v2.0.6/edf/train/aaaaaftk/s002_2007/02_tcp_le/aaaaaftk_s002_t000.edf,C4-P4,0.0
tusz,tusz_v2.0.6/edf/train/aaaaaftk/s002_2007/02_tcp_le/aaaaaftk_s002_t000.edf,Cz-Pz,0.0
tusz,tusz_v2.0.6/edf/train/aaaaaftk/s002_2007/02_tcp_le/aaaaaftk_s002_t000.edf,F3-C3,0.0
tusz,tusz_v2.0.6/edf/train/aaaaaftk/s002_2007/02_tcp_le/aaaaaftk_s002_t000.edf,F4-C4,0.0
tusz,tusz_v2.0.6/edf/train/aaaaaftk/s002_2007/02_tcp_le/aaaaaftk_s002_t000.edf,F7-T7,0.0
tusz,tusz_v2.0.6/edf/train/aaaaaftk/s002_2007/02_tcp_le/aaaaaftk_s002_t000.edf,F8-T8,0.0
tusz,tusz_v2.0.6/edf/train/aaaaaftk/s002_2007/02_tcp_le/aaaaaftk_s002_t000.edf,Fp1-F3,0.0
tusz,tusz_v2.0.6/edf/train/aaaaaftk/s002_2007/02_tcp_le/aaaaaftk_s002_t000.edf,Fp1-F7,0.0
tusz,tusz_v2.0.6/edf/train/aaaaaftk/s002_2007/02_tcp_le/aaaaaftk_s002_t000.edf,Fp2-F4,0.0
tusz,tusz_v2.0.6/edf/train/aaaaaftk/s002_2007/02_tcp_le/aaaaaftk_s002_t000.edf,Fp2-F8,0.0
tusz,tusz_v2.0.6/edf/train/aaaaaftk/s002_2007/02_tcp_le/aaaaaftk_s002_t000.edf,Fz-Cz,0.0
tusz,tusz_v2.0.6/edf/train/aaaaaftk/s002_2007/02_tcp_le/aaaaaftk_s002_t000.edf,P3-O1,0.0
tusz,tusz_v2.0.6/edf/train/aaaaaftk/s002_2007/02_tcp_le/aaaaaftk_s002_t000.edf,P4-O2,0.0
tusz,tusz_v2.0.6/edf/train/aaaaaftk/s002_2007/02_tcp_le/aaaaaftk_s002_t000.edf,P7-O1,0.0
tusz,tusz_v2.0.6/edf/train/aaaaaftk/s002_2007/02_tcp_le/aaaaaftk_s002_t000.edf,P8-O2,0.0
tusz,tusz_v2.0.6/edf/train/aaaaaftk/s002_2007/02_tcp_le/aaaaaftk_s002_t000.edf,T7-P7,0.0
tusz,tusz_v2.0.6/edf/train/aaaaaftk/s002_2007/02_tcp_le/aaaaaftk_s002_t000.edf,T8-P8,0.0
tusz,tusz_v2.0.6/edf/train/aaaaaftk/s002_2007/02_tcp_le/aaaaaftk_s002_t001.edf,C4-P4,321.422
tusz,tusz_v2.0.6/edf/train/aaaaafxr/s004_2007/03_tcp_ar_a/aaaaafxr_s004_t000.edf,Fp2-F4,337.064
tusz,tusz_v2.0.6/edf/train/aaaaafxr/s004_2007/03_tcp_ar_a/aaaaafxr_s004_t000.edf,Fp2-F8,335.807
tusz,tusz_v2.0.6/edf/train/aaaaafye/s002_2007/03_tcp_ar_a/aaaaafye_s002_t001.edf,Fp1-F3,1619.922
tusz,tusz_v2.0.6/edf/train/aaaaafye/s002_2007/03_tcp_ar_a/aaaaafye_s002_t001.edf,Fp1-F7,1570.169
tusz,tusz_v2.0.6/edf/train/aaaaafye/s002_2007/03_tcp_ar_a/aaaaafye_s002_t002.edf,F4-C4,1664.924
tusz,tusz_v2.0.6/edf/train/aaaaafye/s002_2007/03_tcp_ar_a/aaaaafye_s002_t002.edf,F7-T7,1539.369
